flo2d_150_v2_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
21085,100032,12.733065087562727,100002,15.034638806493366,100044,15.060686976780845
21086,100032,12.833760254491894,100002,15.141351595749855,100044,15.163524092612771
21087,100032,12.936170142004984,100002,15.249593934616959,100044,15.267914951644086
21088,100032,13.03952957834998,100002,15.35856243999172,100044,15.373084564650792
21089,100032,13.143046020571562,100002,15.467432741526986,100044,15.478235397553814
21090,100032,13.248231283033125,100002,15.577802810389628,100044,15.584909779292687
21091,100032,13.345683589242666,100002,15.680571536429428,100044,15.69926944805194
21092,100032,13.452672011863735,100002,15.792337664460716,100044,15.807335070347843
21093,100032,13.560502795943474,100003,15.875935494854064,100002,15.90475627317081
21094,100032,13.668354131755832,100003,15.915769801959728,100002,16.016980023223613
21095,100032,13.777804478109884,100003,15.957226559647548,100002,16.130658139075344
21096,100032,13.888038948114536,100003,16.00000526713031,100002,16.244948536438848
21097,100032,13.998220091782166,100003,16.043766398261898,100044,16.356284773785976
21098,100032,14.109962263641753,100003,16.08914755173475,100044,16.468351098541408
21099,100032,14.22243447695989,100003,16.135818405915995,100044,16.581039238199647
21100,100032,14.33478474494316,100003,16.18341059508757,100044,16.693501338864188
21101,100032,14.448660865061804,100003,16.232617928097106,100044,16.807391260431086
21102,100032,14.562372115421637,100003,16.282705461717367,100044,16.92102228862992
21103,100032,14.677587284794859,100003,16.334403665521528,100044,17.03606612622416
21104,100032,14.793451030314213,100003,16.38733434840895,100044,17.151671663217257
21105,100032,14.909089360148057,100003,16.441083010342457,100044,17.266971547917514
21106,100032,15.02620079001406,100003,16.49643398231319,100044,17.383662960771204
21107,100032,15.143916694415257,100003,16.552981473522753,100044,17.50088304796307
21108,100032,15.261351065269572,100003,16.610284474990124,100044,17.6177536691249
21109,100032,15.38023012627569,100003,16.669179689678447,100015,17.719312573257277
21110,100032,15.499672873764567,100003,16.72923461144761,100015,17.801287328615746
21111,100032,15.618782090583613,100003,16.789982623504265,100015,17.883552430493893
21112,100032,15.739309838050842,100003,16.852311275015456,100015,17.96731420259543
21113,100032,15.859471573090559,100003,16.91529162090448,100015,18.051328653462885
21114,100032,15.981035589932942,100003,16.97984420024818,100015,18.13682822144098
21115,100032,16.103102076587607,100003,17.045493993088147,100015,18.22318160125837
21116,100032,16.22475676894483,100003,17.111733750545625,100015,18.309732530415
21117,100032,16.347790980214455,100003,17.17953224048106,100015,18.39775134991625
21118,100032,16.471294596177998,100003,17.248390128269342,100015,18.48658816857251
21119,100032,16.594343997374978,100003,17.3177769835925,100015,18.575569195763453
21120,100032,16.718751992600495,100003,17.388708212717333,100015,18.666001124026582
21121,100032,16.843598835220135,100003,17.46066106840703,100015,18.757216290440887
21122,100032,16.967952147717064,100003,17.53308283644559,100015,18.848524159321016
21123,100032,17.09364482348607,100003,17.60703396447244,100015,18.94126626294129
21124,100032,17.218819393679702,100003,17.68141462955103,100015,19.034067803354233
21125,100032,17.345321395914137,100003,17.75731438652814,100015,19.128292695547653
21126,100002,13.371935867932654,100044,13.630640032937915,100032,13.939144225694381
21127,100002,13.283142122052766,100044,13.539377481227712,100032,13.830489731619041
21128,100002,13.195484016701899,100044,13.449196090330865,100032,13.722641463180866
21129,100002,13.109616076541856,100044,13.360768662294305,100032,13.616402451320731
21130,100002,13.024289124738795,100044,13.272807234728011,100032,13.510218279614934
21131,100002,12.94016687431912,100044,13.185993421749522,100032,13.404899038571077
21132,100002,12.857877946469918,100044,13.100975444341836,100032,13.301229888500417
21133,100002,12.776227007902051,100044,13.016516737151582,100032,13.197695881157957
21134,100002,12.695852308291595,100044,12.933274772591313,100032,13.095089713956208
21135,100002,12.607915815562627,100044,12.861178888536008,100032,12.985973732327851
21136,100002,12.530098598990511,100044,12.780490985502704,100032,12.885218359503412
21137,100002,12.45418881280946,100044,12.70167016928805,100032,12.786187547508638
21138,100002,12.379086735397285,100044,12.623572880180907,100032,12.687437493156564
21139,100002,12.30538483094839,100044,12.54681224235283,100032,12.589729397700612
21140,100002,12.233634587319782,100044,12.471962314686714,100032,12.493794357585603
21141,100002,12.162798295392149,100044,12.397938896899994,100032,12.398235897181618
21142,100002,12.09343820245543,100032,12.303794020972068,100044,12.325326438360337
21143,100002,12.026073267227202,100032,12.211176428707896,100044,12.254668076170562
21144,100002,11.959730897361188,100032,12.119037233271229,100044,12.184942031071309
21145,100002,11.894941196449947,100032,12.028093580520597,100044,12.116702231906528
21146,100002,11.832188640513126,100032,11.939027973542892,100044,12.05045899979449
21147,100002,11.770568834364042,100032,11.850548528401303,100044,11.98525604681804
21148,100002,11.711012860979249,100032,11.76398418027333,100044,11.922077051434131
21149,100002,11.652663413000901,100032,11.678080963992425,100044,11.860011017524982
21150,100032,11.59351388606758,100002,11.595992627256518,100044,11.799556748901505
21151,100032,11.51091911723004,100002,11.541423129249454,100044,11.7411655929521
21152,100032,11.429102672805383,100002,11.488170784525943,100044,11.683997061897076
21153,100032,11.348711596539905,100002,11.43667023763502,100044,11.628514231390273
21154,100032,11.270351410094136,100002,11.387304345432351,100044,11.575130432194005
21155,100032,11.192891836471139,100002,11.339364979256716,100044,11.52307858780303
